,PBI
Price/Earnings (TTM),19.85707
Price/Sales (TTM),0.1753
Price/Book (MRQ),
Price/Cash Flow (TTM),3.18565
5yr Low,1.67
5yr High,15.5
5yr Avg Return,-0.09451666666666667
EPS Growth 5yr,-0.4499952
Revenue Growth 5yr,0.04264300000000001
Dividend Growth 5yr,
Short Int Current Month,10367423.0
Short Int Prev Month,10639122.0
Short Int Pct of Float,0.0643889
Days to Cover,5.51299
Float,161.3021
Shares Outstanding,174.004
Institutions Holding Shares,311.0
% Held by Institutions,0.7069329999999999
FCF Growth 5yr,0.8104682826255799
