,PBI
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.7384615384615385
Growth 1yr High Est,-0.661764705882353
Growth 1yr Consensus Est,-0.7001131221719458
Growth 2yr Low Est,-0.2809954751131222
Growth 2yr High Est,0.21259590792838867
Growth 2yr Consensus Est,-0.03419978359236675
Growth 5yr Low Est,-0.1404977375565611
Growth 5yr High Est,0.10629795396419434
Growth 5yr Consensus Est,-0.017099891796183375
Growth 5yr Actual/Est,-0.08258222643896268
Growth 3yr Historic,-0.13137254901960782
