,PBI
% Above Low,0.5717
% Held by Institutions,0.7069
52-Wk Range,['2.30 - 7.38']
Annual Dividend $,0.2
Annual Dividend %,0.054900000000000004
Ask,3.62
Ask Size,1800.0
B/A Ratio,0.5
B/A Size,900x1800
Beta,2.3
Bid,3.61
Bid Size,900.0
Day Change $,-0.025
Day Change %,-0.0069
Day High,3.67
Day Low,3.6
Dividend Pay Date,2022-12-06 00:00:00
"EPS (TTM, GAAP)",0.18
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.594
Last (size),10.0
Last (time),10:14a ET 11/28/22
Market Cap,629.0M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.86
Prev Close,3.64
Price,3.62
Shares Outstanding,174.0M
Short Interest,0.0644
Today's Open,3.6
Volume Past Day,(Light)
