,NWN
Price/Earnings (TTM),19.04802
Price/Sales (TTM),1.82032
Price/Book (MRQ),1.55284
Price/Cash Flow (TTM),9.00379
5yr Low,41.71
5yr High,77.26
5yr Avg Return,-0.029716666666666676
EPS Growth 5yr,0.0262723
Revenue Growth 5yr,0.0518705
Dividend Growth 5yr,0.0052843
Short Int Current Month,524515.0
Short Int Prev Month,1233573.0
Short Int Pct of Float,0.0150799
Days to Cover,2.96097
Float,34.80288
Shares Outstanding,35.09916
Institutions Holding Shares,317.0
% Held by Institutions,0.762749
FCF Growth 5yr,-2.03999557589823
