,NWN
% Above Low,0.1704
% Held by Institutions,0.7626999999999999
52-Wk Range,['42.37 - 57.63']
Annual Dividend $,1.94
Annual Dividend %,0.0391
Ask,51.99
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.5
Bid,44.56
Bid Size,100.0
Change Since Close,0.01| |(0.02%)
Closing Price,49.59
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",2.6
Ex-dividend,2022-10-28 00:00:00
Ex-dividend Date,10/28/22
Historical Volatility,0.267
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,49.6
Market Cap,1.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.05
Prev Close,49.59
Shares Outstanding,35.1M
Short Interest,0.0151
Today's Open,
Volume,1.0
Volume 10-day Avg,172163.0
Volume Past Day,(Light)
