,NGMS
% Above Low,0.25260000000000005
% Held by Institutions,0.382
52-Wk Range,['10.69 - 37.40']
Annual Dividend $,
Annual Dividend %,
Ask,15.67
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,11.02
Bid Size,100.0
Closing Price,13.39
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.8
Ex-dividend Date,No dividend
Historical Volatility,0.7170000000000001
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,342.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,13.39
Shares Outstanding,25.6M
Short Interest,0.034
Today's Open,
Volume,56420.0
Volume 10-day Avg,166171.0
Volume Past Day,(Light)
