,NGMS
Price/Earnings (TTM),
Price/Sales (TTM),3.18459
Price/Book (MRQ),2.56786
Price/Cash Flow (TTM),143.5576
5yr Low,10.69
5yr High,73.54
5yr Avg Return,0.0038666666666667027
Short Int Current Month,432646.0
Short Int Prev Month,491115.0
Short Int Pct of Float,0.033960699999999996
Days to Cover,2.76065
Float,5.14557
Shares Outstanding,25.85966
Institutions Holding Shares,103.0
% Held by Institutions,0.382007
FCF Growth 5yr,1.3261948682084503
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
