,JXN
% Below High,0.2077
% Held by Institutions,0.9116
52-Wk Range,['23.56 - 47.76']
Annual Dividend $,2.2
Annual Dividend %,0.0581
Ask,43.52
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,11.55
Bid Size,100.0
Closing Price,37.84
Day Change $,0.1
Day Change %,0.0026
Day High,38.12
Day Low,37.52
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",78.09
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.5770000000000001
Last (size),36.0
Last (time),5:00p ET 11/25/22
Market Cap,3.1B
"P/E Ratio (TTM, GAAP)",0.48
Prev Close,37.74
Shares Outstanding,83.0M
Short Interest,0.0571
Today's Open,37.67
Volume,170686.0
Volume 10-day Avg,1008125.0
Volume Past Day,(Light)
