,MLCO
Price/Earnings (TTM),
Price/Sales (TTM),1.96394
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,4.06
5yr High,32.95
5yr Avg Return,-0.15848333333333334
EPS Growth 5yr,
Revenue Growth 5yr,-0.149401
Dividend Growth 5yr,
Short Int Current Month,12993536.0
Short Int Prev Month,12857527.0
Short Int Pct of Float,0.0285371
Days to Cover,2.57699
Float,440.6379
Shares Outstanding,445.0888
Institutions Holding Shares,243.0
% Held by Institutions,0.42527000000000004
FCF Growth 5yr,-1.1078376863261725
