,MLCO
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.056872037914692086
Growth 1yr High Est,-0.4887218045112782
Growth 1yr Consensus Est,-0.21592488329829307
Growth 2yr Low Est,-0.2742545640022952
Growth 2yr High Est,-1.031125608137992
Growth 2yr Consensus Est,-0.6526900860701437
Growth 5yr Low Est,-0.2742545640022952
Growth 5yr High Est,-1.031125608137992
Growth 5yr Consensus Est,-0.6526900860701437
Growth 5yr Actual/Est,-1.395113366814401
Growth 3yr Historic,-1.1889816158684083
