,MLCO
% Above Low,0.6232
% Held by Institutions,0.4253
52-Wk Range,['4.06 - 11.81']
Annual Dividend $,
Annual Dividend %,
Ask,7.03
Ask Size,100.0
Ask close,8.19
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,7.0
Bid Size,100.0
Bid close,5.13
Change Since Close,0.44| |(6.68%)
Closing Price,6.59
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.78
Ex-dividend Date,No dividend
Historical Volatility,0.865
Last (size),119.0
Last (time),1:00p ET 11/25/22
Last Trade,7.03
Market Cap,2.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,6.59
Shares Outstanding,445.1M
Short Interest,0.0285
Today's Open,
Volume,59147.0
Volume 10-day Avg,4080024.0
Volume Past Day,(Light)
