,CFR
Price/Earnings (TTM),19.94379
Price/Sales (TTM),6.17035
Price/Book (MRQ),3.56206
Price/Cash Flow (TTM),17.21152
5yr Low,47.69
5yr High,160.6
5yr Avg Return,0.0883
EPS Growth 5yr,0.07541400000000001
Revenue Growth 5yr,0.050528199999999995
Dividend Growth 5yr,0.0645885
Short Int Current Month,1334928.0
Short Int Prev Month,1853674.0
Short Int Pct of Float,0.0230035
Days to Cover,3.65931
Float,58.0536
Shares Outstanding,64.29872
Institutions Holding Shares,524.0
% Held by Institutions,0.856357
FCF Growth 5yr,0.06535205836138684
