,CFR
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.2999999999999998
Growth 1yr High Est,0.3050595238095237
Growth 1yr Consensus Est,0.3025297619047618
Growth 2yr Low Est,0.20088757396449708
Growth 2yr High Est,0.34124127843839935
Growth 2yr Consensus Est,0.2710644262014482
Growth 5yr Low Est,0.11433014163358815
Growth 5yr High Est,0.17932637593171105
Growth 5yr Consensus Est,0.1468282587826496
Growth 5yr Actual/Est,0.15386774646840065
Growth 3yr Historic,0.017776057791537653
