,ADP
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,0.1445086705202312
Growth 1yr High Est,0.16903409090909105
Growth 1yr Consensus Est,0.15677138071466112
Growth 2yr Low Est,0.09308766859344897
Growth 2yr High Est,0.14648545371699995
Growth 2yr Consensus Est,0.11978656115522446
Growth 5yr Low Est,0.09928428628351876
Growth 5yr High Est,0.12254875643756707
Growth 5yr Consensus Est,0.11091652136054292
Growth 5yr Actual/Est,0.11263159466768963
Growth 3yr Historic,0.045335929783604234
