,ADP
Price/Earnings (TTM),36.56481
Price/Sales (TTM),6.48595
Price/Book (MRQ),42.52499
Price/Cash Flow (TTM),30.85636
5yr Low,103.11
5yr High,264.0
5yr Avg Return,0.16945
EPS Growth 5yr,0.12018980000000001
Revenue Growth 5yr,0.059253400000000005
Dividend Growth 5yr,0.1236077
Short Int Current Month,6504822.0
Short Int Prev Month,5791182.0
Short Int Pct of Float,0.0157067
Days to Cover,3.87217
Float,414.3582
Shares Outstanding,414.8278
Institutions Holding Shares,2434.0
% Held by Institutions,0.7692570000000001
FCF Growth 5yr,0.1721992108504513
