,ADP
% Below High,0.0037
% Held by Institutions,0.7693000000000001
52-Wk Range,['192.26 - 264.94']
Annual Dividend $,5.0
Annual Dividend %,0.0189
Ask,264.65
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,263.15
Bid Size,100.0
Closing Price,263.95
Day Change $,1.37
Day Change %,0.0052
Day High,264.94
Day Low,261.96
Dividend Pay Date,2023-01-01 00:00:00
"EPS (TTM, GAAP)",7.22
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.281
Last (size),48.0
Last (time),1:00p ET 11/25/22
Market Cap,109.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",36.56
Prev Close,262.58
Shares Outstanding,414.8M
Short Interest,0.015700000000000002
Today's Open,263.6
Volume,594686.0
Volume 10-day Avg,1520014.0
Volume Past Day,(Light)
