,ICE
% Above Low,0.209
% Held by Institutions,0.8833
52-Wk Range,['88.60 - 138.46']
Annual Dividend $,1.52
Annual Dividend %,0.014199999999999999
Ask,117.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,97.0
Bid Size,100.0
Closing Price,107.12
Day Change $,0.18
Day Change %,0.0017000000000000001
Day High,107.46
Day Low,106.32
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",4.52
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.28
Last (size),4.0
Last (time),5:00p ET 11/25/22
Market Cap,59.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",23.72
Prev Close,106.94
Shares Outstanding,558.6M
Short Interest,0.0072
Today's Open,106.41
Volume,817734.0
Volume 10-day Avg,2069318.0
Volume Past Day,(Light)
