,ICE
Price/Earnings (TTM),23.71843
Price/Sales (TTM),6.24096
Price/Book (MRQ),2.67573
Price/Cash Flow (TTM),16.59696
5yr Low,63.51
5yr High,139.79
5yr Avg Return,0.08773333333333336
EPS Growth 5yr,0.24643879999999999
Revenue Growth 5yr,0.0895458
Dividend Growth 5yr,0.2094857
Short Int Current Month,3978069.0
Short Int Prev Month,3962273.0
Short Int Pct of Float,0.0072232
Days to Cover,1.28962
Float,550.8234
Shares Outstanding,558.5516
Institutions Holding Shares,1625.0
% Held by Institutions,0.883346
FCF Growth 5yr,0.32624135117987246
