,ICE
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,0.03952569169960474
Growth 1yr High Est,0.05415860735009681
Growth 1yr Consensus Est,0.046842149524850774
Growth 2yr Low Est,0.022614556876418335
Growth 2yr High Est,0.066528844959452
Growth 2yr Consensus Est,0.044571700917935164
Growth 5yr Low Est,0.0845215641524949
Growth 5yr High Est,0.10507896622223584
Growth 5yr Consensus Est,0.09480026518736537
Growth 5yr Actual/Est,0.1011988005204435
Growth 3yr Historic,0.07606950190870232
