,COIN
% Above Low,0.0904
% Held by Institutions,0.565
52-Wk Range,['40.61 - 331.70']
Annual Dividend $,
Annual Dividend %,
Ask,44.25
Ask Size,3200.0
B/A Ratio,0.71875
B/A Size,2300x3200
Beta,
Bid,44.24
Bid Size,2300.0
Closing Price,44.28
Day Change $,-1.29
Day Change %,-0.028300000000000002
Day High,45.24
Day Low,43.7
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.6
Ex-dividend Date,No dividend
Historical Volatility,1.081
Last (size),159.0
Last (time),1:00p ET 11/25/22
Market Cap,10.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,45.57
Shares Outstanding,227.0M
Short Interest,0.1791
Today's Open,44.76
Volume,6451508.0
Volume 10-day Avg,19894099.0
Volume Past Day,(Light)
