,COIN
Price/Earnings (TTM),
Price/Sales (TTM),1.98478
Price/Book (MRQ),1.78342
Price/Cash Flow (TTM),
5yr Low,40.61
5yr High,429.54
5yr Avg Return,-0.5823999999999999
Short Int Current Month,31437102.0
Short Int Prev Month,26345797.0
Short Int Pct of Float,0.1790965
Days to Cover,1.31193
Float,175.6229
Shares Outstanding,226.9656
Institutions Holding Shares,834.0
% Held by Institutions,0.564966
FCF Growth 5yr,0.32420080451569655
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
