,LBRT
Price/Earnings (TTM),16.45813
Price/Sales (TTM),0.82709
Price/Book (MRQ),2.12397
Price/Cash Flow (TTM),6.00285
5yr Low,2.17
5yr High,23.9
5yr Avg Return,0.0034199999999999873
EPS Growth 5yr,
Revenue Growth 5yr,0.458187
Dividend Growth 5yr,
Short Int Current Month,5283269.0
Short Int Prev Month,6186796.0
Short Int Pct of Float,0.0315678
Days to Cover,2.73964
Float,167.3249
Shares Outstanding,182.4847
Institutions Holding Shares,285.0
% Held by Institutions,0.880396
FCF Growth 5yr,-0.08057384008209471
