,LBRT
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.24873096446700504
Growth 2yr High Est,0.8178137651821862
Growth 2yr Consensus Est,0.5332723648245956
Growth 5yr Low Est,0.24873096446700504
Growth 5yr High Est,0.8178137651821862
Growth 5yr Consensus Est,0.5332723648245956
Growth 5yr Actual/Est,-1.1752907162920632
Growth 3yr Historic,-0.5580141476880608
