,LBRT
% Below High,0.1845
% Held by Institutions,0.8804000000000001
52-Wk Range,['8.50 - 20.05']
Annual Dividend $,
Annual Dividend %,
Ask,16.07
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,2.3
Bid,12.9
Bid Size,200.0
Closing Price,16.35
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,12/20/22
"EPS (TTM, GAAP)",0.99
Ex-dividend Date,12/05/22
Historical Volatility,0.618
Last (size),97.0
Last (time),5:00p ET 11/25/22
Market Cap,3.0B
"P/E Ratio (TTM, GAAP)",16.46
Prev Close,16.35
Shares Outstanding,182.2M
Short Interest,0.0316
Today's Open,
Volume,566837.0
Volume 10-day Avg,1679281.0
Volume Past Day,(Light)
