,VOYA
Price/Earnings (TTM),10.95635
Price/Sales (TTM),1.04282
Price/Book (MRQ),1.54617
Price/Cash Flow (TTM),
5yr Low,29.75
5yr High,74.97
5yr Avg Return,0.08855000000000002
EPS Growth 5yr,2.192619
Revenue Growth 5yr,-0.1366325
Dividend Growth 5yr,0.7700476999999999
Short Int Current Month,19415466.0
Short Int Prev Month,19113433.0
Short Int Pct of Float,0.2016996
Days to Cover,12.07535
Float,96.2756
Shares Outstanding,97.17287
Institutions Holding Shares,540.0
% Held by Institutions,1.146713
FCF Growth 5yr,
