,VOYA
% Above Low,0.1306
% Held by Institutions,1.1467
52-Wk Range,['56.20 - 74.97']
Annual Dividend $,0.8
Annual Dividend %,0.0123
Ask,67.52
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,1.2
Bid,61.8
Bid Size,100.0
Closing Price,63.54
Day Change $,-1.59
Day Change %,-0.024399999999999998
Day High,65.06
Day Low,63.54
Dividend Pay Date,2022-12-29 00:00:00
"EPS (TTM, GAAP)",5.94
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.321
Last (size),118400.0
Last (time),7:00p ET 11/28/22
Market Cap,6.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.96
Prev Close,65.13
Shares Outstanding,97.2M
Short Interest,0.20170000000000002
Today's Open,64.31
Volume,1541511.0
Volume 10-day Avg,1265697.0
Volume Past Day,(Heavy Day)
