,VOYA
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.2551282051282051
Growth 1yr High Est,-0.1637831603229527
Growth 1yr Consensus Est,-0.2094556827255789
Growth 2yr Low Est,0.014432455095105712
Growth 2yr High Est,0.0022463508730063975
Growth 2yr Consensus Est,0.008339402984056055
Growth 5yr Low Est,0.014432455095105712
Growth 5yr High Est,0.0022463508730063975
Growth 5yr Consensus Est,0.008339402984056055
Growth 5yr Actual/Est,0.367953693376738
Growth 3yr Historic,0.37984472049689433
