,IMGO
% Below High,0.0025
% Held by Institutions,0.9843000000000001
52-Wk Range,['11.56 - 35.75']
Annual Dividend $,
Annual Dividend %,
Ask,35.85
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,
Bid,35.57
Bid Size,400.0
Closing Price,35.66
Day Change $,0.02
Day Change %,0.0006
Day High,35.71
Day Low,35.63
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.83
Ex-dividend Date,No dividend
Historical Volatility,1.104
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,1.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,35.64
Shares Outstanding,33.8M
Short Interest,0.10679999999999999
Today's Open,35.64
Volume,436704.0
Volume 10-day Avg,2399841.0
Volume Past Day,(Light)
