,IMGO
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),6.98578
Price/Cash Flow (TTM),
5yr Low,11.56
5yr High,35.75
5yr Avg Return,0.42565
Short Int Current Month,3429743.0
Short Int Prev Month,3540429.0
Short Int Pct of Float,0.10683569999999999
Days to Cover,18.86661
Float,32.62596
Shares Outstanding,33.8222
Institutions Holding Shares,106.0
% Held by Institutions,0.9843470000000001
FCF Growth 5yr,0.0
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
