,FOR
% Above Low,0.43090000000000006
% Held by Institutions,0.35229999999999995
52-Wk Range,['10.28 - 22.60']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.7
Bid,10.33
Bid Size,
Closing Price,14.71
Day Change $,-0.04
Day Change %,-0.0027
Day High,14.78
Day Low,14.66
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.59
Ex-dividend Date,No dividend
Historical Volatility,0.423
Last (size),9.0
Last (time),5:00p ET 11/25/22
Market Cap,732.1M
"P/E Ratio (TTM, GAAP)",4.1
Prev Close,14.75
Shares Outstanding,49.8M
Short Interest,0.013600000000000001
Today's Open,14.7
Volume,31884.0
Volume 10-day Avg,110106.0
Volume Past Day,(Light)
