,FOR
Price/Earnings (TTM),4.09923
Price/Sales (TTM),0.48194
Price/Book (MRQ),0.61086
Price/Cash Flow (TTM),4.03366
5yr Low,9.43
5yr High,26.55
5yr Avg Return,-0.018499999999999996
Short Int Current Month,246169.0
Short Int Prev Month,309209.0
Short Int Pct of Float,0.0135836
Days to Cover,2.39788
Float,18.12604
Shares Outstanding,49.76948
Institutions Holding Shares,172.0
% Held by Institutions,0.35225700000000004
FCF Growth 5yr,2.0669917212418905
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
