,DORM
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.015118790496760237
Growth 1yr High Est,0.036247334754797356
Growth 1yr Consensus Est,0.025683062625778796
Growth 2yr Low Est,0.05755939524838005
Growth 2yr High Est,0.11071625996999124
Growth 2yr Consensus Est,0.08413782760918564
Growth 5yr Low Est,0.05755939524838005
Growth 5yr High Est,0.11071625996999124
Growth 5yr Consensus Est,0.08413782760918564
Growth 5yr Actual/Est,0.20001177182635105
Growth 3yr Historic,0.16170358217117858
