,DORM
% Above Low,0.23940000000000003
% Held by Institutions,0.76
52-Wk Range,['73.32 - 119.46']
Annual Dividend $,
Annual Dividend %,
Ask,142.39
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,0.6
Bid,71.0
Bid Size,500.0
Closing Price,90.87
Day Change $,0.45
Day Change %,0.005
Day High,91.09
Day Low,89.99
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.36
Ex-dividend Date,No dividend
Historical Volatility,0.35000000000000003
Last (size),13.0
Last (time),1:00p ET 11/25/22
Market Cap,2.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.84
Prev Close,90.42
Shares Outstanding,31.4M
Short Interest,0.0154
Today's Open,90.72
Volume,34421.0
Volume 10-day Avg,95456.0
Volume Past Day,(Light)
