,DORM
Price/Earnings (TTM),20.84012
Price/Sales (TTM),1.75085
Price/Book (MRQ),2.79624
Price/Cash Flow (TTM),15.9332
5yr Low,44.49
5yr High,122.96
5yr Avg Return,0.07511666666666666
EPS Growth 5yr,0.0606962
Revenue Growth 5yr,0.09370660000000001
Dividend Growth 5yr,
Short Int Current Month,402033.0
Short Int Prev Month,454247.0
Short Int Pct of Float,0.015418300000000001
Days to Cover,4.55753
Float,26.07498
Shares Outstanding,31.41858
Institutions Holding Shares,323.0
% Held by Institutions,0.7599859999999999
FCF Growth 5yr,-0.4023767373130642
