,QDEL
% Above Low,0.281
% Held by Institutions,0.9631000000000001
52-Wk Range,['66.88 - 180.06']
Annual Dividend $,
Annual Dividend %,
Ask,85.67
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.3
Bid,85.42
Bid Size,100.0
Day Change $,-2.53
Day Change %,-0.0287
Day High,88.11
Day Low,85.53
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",16.8
Ex-dividend Date,No dividend
Historical Volatility,0.528
Last (size),200.0
Last (time),12:03p ET 11/28/22
Market Cap,5.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.25
Prev Close,88.2
Price,85.67
Shares Outstanding,66.0M
Short Interest,0.06480000000000001
Today's Open,87.35
Volume Past Day,(Light)
