,QDEL
Price/Earnings (TTM),5.25049
Price/Sales (TTM),1.91848
Price/Book (MRQ),1.21394
Price/Cash Flow (TTM),5.8774
5yr Low,36.9
5yr High,306.72
5yr Avg Return,0.2730166666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.5471600999999999
Dividend Growth 5yr,
Short Int Current Month,3138274.0
Short Int Prev Month,3150308.0
Short Int Pct of Float,0.06483799999999999
Days to Cover,5.06667
Float,60.91672
Shares Outstanding,66.04536
Institutions Holding Shares,439.0
% Held by Institutions,0.9630589999999999
FCF Growth 5yr,0.09600005700184822
