,PGTI
% Below High,0.1575
% Held by Institutions,0.9055
52-Wk Range,['15.42 - 23.81']
Annual Dividend $,
Annual Dividend %,
Ask,20.12
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,1.3
Bid,19.99
Bid Size,300.0
Day Change $,-0.13
Day Change %,-0.0064
Day High,20.24
Day Low,20.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.7
Ex-dividend Date,No dividend
Historical Volatility,0.42600000000000005
Last (size),100.0
Last (time),10:45a ET 11/28/22
Market Cap,1.2B
"P/E Ratio (TTM, GAAP)",11.88
Prev Close,20.19
Price,20.06
Shares Outstanding,60.0M
Short Interest,0.0275
Today's Open,20.02
Volume Past Day,(Light)
