,PGTI
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.9081632653061227
Growth 1yr High Est,0.8932038834951455
Growth 1yr Consensus Est,0.9006835744006341
Growth 2yr Low Est,0.39525810324129657
Growth 2yr High Est,0.5081404032860343
Growth 2yr Consensus Est,0.45169925326366545
Growth 5yr Low Est,0.2557357039233684
Growth 5yr High Est,0.28897856361323476
Growth 5yr Consensus Est,0.2723571337683016
Growth 5yr Actual/Est,0.27200670898524115
Growth 3yr Historic,0.06119562484284635
