,EA
% Below High,0.0931
% Held by Institutions,0.9240999999999999
52-Wk Range,['109.24 - 142.79']
Annual Dividend $,0.76
Annual Dividend %,0.0059
Ask,129.98
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,0.9
Bid,128.97
Bid Size,100.0
Closing Price,129.5
Day Change $,-1.46
Day Change %,-0.0111
Day High,130.27
Day Low,129.15
Dividend Pay Date,2022-12-21 00:00:00
"EPS (TTM, GAAP)",3.2
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.262
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,35.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",40.44
Prev Close,130.96
Shares Outstanding,276.1M
Short Interest,0.0155
Today's Open,129.98
Volume,781275.0
Volume 10-day Avg,1778716.0
Volume Past Day,(Light)
