,BRO
% Above Low,0.12
% Held by Institutions,0.7212999999999999
52-Wk Range,['52.91 - 74.00']
Annual Dividend $,0.46
Annual Dividend %,0.0078000000000000005
Ask,59.24
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,0.7
Bid,50.0
Bid Size,100.0
Closing Price,59.26
Day Change $,0.63
Day Change %,0.010700000000000001
Day High,59.52
Day Low,58.79
Dividend Pay Date,2022-11-16 00:00:00
"EPS (TTM, GAAP)",2.21
Ex-dividend,2022-11-01 00:00:00
Ex-dividend Date,11/01/22
Historical Volatility,0.327
Last (size),1400.0
Last (time),5:00p ET 11/25/22
Market Cap,16.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",26.78
Prev Close,58.63
Shares Outstanding,283.2M
Short Interest,0.015
Today's Open,58.95
Volume,472452.0
Volume 10-day Avg,1096516.0
Volume Past Day,(Light)
