,BRO
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.05769230769230771
Growth 1yr High Est,0.05504587155963292
Growth 1yr Consensus Est,0.056369089625970314
Growth 2yr Low Est,0.07884615384615379
Growth 2yr High Est,0.10795771838851209
Growth 2yr Consensus Est,0.09340193611733294
Growth 5yr Low Est,0.1563938798427849
Growth 5yr High Est,0.17434024909051987
Growth 5yr Consensus Est,0.1653670644666524
Growth 5yr Actual/Est,0.1606856899378022
Growth 3yr Historic,0.12605859709153122
