,ANAB
Price/Earnings (TTM),
Price/Sales (TTM),178.2518
Price/Book (MRQ),2.87504
Price/Cash Flow (TTM),
5yr Low,10.0
5yr High,134.0
5yr Avg Return,-0.02031666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.3051157
Dividend Growth 5yr,
Short Int Current Month,5539182.0
Short Int Prev Month,5625875.0
Short Int Pct of Float,0.1954283
Days to Cover,25.5409
Float,28.3438
Shares Outstanding,28.43163
Institutions Holding Shares,181.0
% Held by Institutions,1.164859
FCF Growth 5yr,0.3294268729721546
