,ANAB
% Below High,0.2473
% Held by Institutions,1.1649
52-Wk Range,['18.20 - 37.40']
Annual Dividend $,
Annual Dividend %,
Ask,40.0
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,0.0
Bid,11.26
Bid Size,200.0
Closing Price,28.15
Day Change $,0.2
Day Change %,0.0072
Day High,28.64
Day Low,27.92
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.83
Ex-dividend Date,No dividend
Historical Volatility,0.58
Last (size),10.0
Last (time),12:59p ET 11/25/22
Market Cap,804.3M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,27.95
Shares Outstanding,28.4M
Short Interest,0.1954
Today's Open,27.92
Volume,35853.0
Volume 10-day Avg,178471.0
Volume Past Day,(Light)
