,EQH
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.1875
Growth 1yr High Est,-0.16793893129770987
Growth 1yr Consensus Est,-0.17771946564885494
Growth 2yr Low Est,-0.055288461538461564
Growth 2yr High Est,0.032544295819034896
Growth 2yr Consensus Est,-0.011372082859713334
Growth 5yr Low Est,0.070181856187291
Growth 5yr High Est,0.11173628293061447
Growth 5yr Consensus Est,0.09095906955895273
Growth 5yr Actual/Est,0.07173375803313922
Growth 3yr Historic,0.0868758134826354
