,EQH
% Below High,0.1594
% Held by Institutions,1.008
52-Wk Range,['24.61 - 37.13']
Annual Dividend $,0.8
Annual Dividend %,0.0256
Ask,33.95
Ask Size,1100.0
B/A Ratio,0.09090909090909091
B/A Size,100x1100
Beta,1.4
Bid,12.11
Bid Size,100.0
Closing Price,31.21
Day Change $,0.13
Day Change %,0.0042
Day High,31.34
Day Low,30.97
Dividend Pay Date,2022-12-05 00:00:00
"EPS (TTM, GAAP)",7.16
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.36600000000000005
Last (size),700.0
Last (time),5:00p ET 11/25/22
Market Cap,11.5B
"P/E Ratio (TTM, GAAP)",4.36
Prev Close,31.08
Shares Outstanding,370.0M
Short Interest,0.009899999999999999
Today's Open,31.08
Volume,1038479.0
Volume 10-day Avg,2499333.0
Volume Past Day,(Light)
