,WWE
% Below High,0.0102
% Held by Institutions,1.168
52-Wk Range,['46.91 - 81.63']
Annual Dividend $,0.48
Annual Dividend %,0.0059
Ask,120.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,75.0
Bid Size,100.0
Closing Price,80.8
Day Change $,0.09
Day Change %,0.0011
Day High,81.63
Day Low,79.41
Dividend Pay Date,2022-12-27 00:00:00
"EPS (TTM, GAAP)",2.51
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.27899999999999997
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,6.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",32.19
Prev Close,80.71
Shares Outstanding,74.4M
Short Interest,0.18960000000000002
Today's Open,80.39
Volume,719214.0
Volume 10-day Avg,500195.0
Volume Past Day,(Heavy Day)
