,WWE
Price/Earnings (TTM),32.19334
Price/Sales (TTM),4.70415
Price/Book (MRQ),12.74196
Price/Cash Flow (TTM),19.05235
5yr Low,27.81
5yr High,100.45
5yr Avg Return,0.29585000000000006
EPS Growth 5yr,0.36767859999999997
Revenue Growth 5yr,0.08473929999999999
Dividend Growth 5yr,
Short Int Current Month,8147035.0
Short Int Prev Month,8232888.0
Short Int Pct of Float,0.1895786
Days to Cover,12.76241
Float,42.99661
Shares Outstanding,74.39907
Institutions Holding Shares,385.0
% Held by Institutions,1.167978
FCF Growth 5yr,-0.11682094693683458
