,ACRS
% Below High,0.0753
% Held by Institutions,0.9582999999999999
52-Wk Range,['9.26 - 18.96']
Annual Dividend $,
Annual Dividend %,
Ask,17.52
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.6
Bid,17.35
Bid Size,200.0
Closing Price,17.53
Day Change $,-0.17
Day Change %,-0.0096
Day High,17.86
Day Low,17.44
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.29
Ex-dividend Date,No dividend
Historical Volatility,0.6970000000000001
Last (size),79.0
Last (time),12:59p ET 11/25/22
Market Cap,1.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,17.7
Shares Outstanding,66.7M
Short Interest,0.0535
Today's Open,17.71
Volume,65539.0
Volume 10-day Avg,385245.0
Volume Past Day,(Light)
