,ACRS
Price/Earnings (TTM),
Price/Sales (TTM),49.74282
Price/Book (MRQ),5.31707
Price/Cash Flow (TTM),
5yr Low,0.7
5yr High,30.38
5yr Avg Return,0.4044666666666666
Short Int Current Month,3222727.0
Short Int Prev Month,3678877.0
Short Int Pct of Float,0.0534669
Days to Cover,8.95737
Float,60.25899
Shares Outstanding,66.68319
Institutions Holding Shares,182.0
% Held by Institutions,0.958279
FCF Growth 5yr,0.1789168738053455
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
