,ACRS
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.26050420168067223
Growth 1yr High Est,0.20353982300884965
Growth 1yr Consensus Est,0.23202201234476094
Growth 2yr Low Est,0.2235854341736695
Growth 2yr High Est,0.17529932326913067
Growth 2yr Consensus Est,0.19944237872140008
Growth 5yr Low Est,0.14905695611577965
Growth 5yr High Est,0.11686621551275378
Growth 5yr Consensus Est,0.13296158581426673
Growth 5yr Actual/Est,-0.07384062478402101
Growth 3yr Historic,-0.20224358974358972
