,ON
% Below High,0.050199999999999995
% Held by Institutions,1.0290000000000001
52-Wk Range,['44.76 - 77.28']
Annual Dividend $,
Annual Dividend %,
Ask,72.72
Ask Size,100.0
Ask close,78.46
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,72.35
Bid Size,100.0
Bid close,69.17
Change Since Close,-1.00| |(-1.36%)
Closing Price,73.4
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.85
Ex-dividend Date,No dividend
Historical Volatility,0.616
Last (size),10.0
Last (time),12:59p ET 11/25/22
Last Trade,72.4
Market Cap,31.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.04
Prev Close,73.4
Shares Outstanding,432.4M
Short Interest,0.0516
Today's Open,
Volume,5854.0
Volume 10-day Avg,6148378.0
Volume Past Day,(Light)
