,ON
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,30.0
Growth 1yr Low Est,2.395973154362416
Growth 1yr High Est,2.3413173652694614
Growth 1yr Consensus Est,2.3686452598159384
Growth 2yr Low Est,1.04778894872271
Growth 2yr High Est,1.1303361019895695
Growth 2yr Consensus Est,1.0890625253561397
Growth 5yr Low Est,0.523894474361355
Growth 5yr High Est,0.5651680509947847
Growth 5yr Consensus Est,0.5445312626780698
Growth 5yr Actual/Est,0.6717372871217545
Growth 3yr Historic,0.5102645084879589
