,ON
Price/Earnings (TTM),19.04312
Price/Sales (TTM),3.93371
Price/Book (MRQ),5.6115
Price/Cash Flow (TTM),13.89176
5yr Low,8.17
5yr High,77.28
5yr Avg Return,0.2900666666666667
EPS Growth 5yr,0.3930946
Revenue Growth 5yr,0.1152261
Dividend Growth 5yr,
Short Int Current Month,22231272.0
Short Int Prev Month,21698886.0
Short Int Pct of Float,0.0516106
Days to Cover,2.93086
Float,430.7273
Shares Outstanding,432.4236
Institutions Holding Shares,1076.0
% Held by Institutions,1.028954
FCF Growth 5yr,0.4447349089644567
