,CSTM
% Above Low,0.23320000000000002
% Held by Institutions,0.9279000000000001
52-Wk Range,['9.82 - 20.85']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,2.2
Bid,9.0
Bid Size,
Closing Price,12.11
Day Change $,-0.09
Day Change %,-0.0074
Day High,12.36
Day Low,12.11
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.74
Ex-dividend Date,No dividend
Historical Volatility,0.529
Last (size),60.0
Last (time),5:00p ET 11/25/22
Market Cap,1.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.97
Prev Close,12.2
Shares Outstanding,144.3M
Short Interest,0.0204
Today's Open,12.18
Volume,238835.0
Volume 10-day Avg,900858.0
Volume Past Day,(Light)
