,CSTM
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,5.499999999999999
Growth 1yr High Est,1.3168316831683167
Growth 1yr Consensus Est,3.4084158415841577
Growth 2yr Low Est,2.528280542986425
Growth 2yr High Est,0.8336295167978336
Growth 2yr Consensus Est,1.6809550298921292
Growth 5yr Low Est,1.2641402714932124
Growth 5yr High Est,0.4168147583989168
Growth 5yr Consensus Est,0.8404775149460646
Growth 5yr Actual/Est,-3.6812417314214003
Growth 3yr Historic,-3.6512148337595907
