,CSTM
Price/Earnings (TTM),6.97289
Price/Sales (TTM),0.22275
Price/Book (MRQ),2.88847
Price/Cash Flow (TTM),3.18388
5yr Low,3.9
5yr High,21.6
5yr Avg Return,0.10990000000000003
EPS Growth 5yr,
Revenue Growth 5yr,0.0533984
Dividend Growth 5yr,
Short Int Current Month,2898924.0
Short Int Prev Month,3516123.0
Short Int Pct of Float,0.020397699999999998
Days to Cover,2.85939
Float,142.12
Shares Outstanding,144.3016
Institutions Holding Shares,233.0
% Held by Institutions,0.927909
FCF Growth 5yr,0.5753753753753753
