,PL
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),2.32181
Price/Cash Flow (TTM),
5yr Low,3.7
5yr High,12.15
5yr Avg Return,-0.25675000000000003
Short Int Current Month,9284775.0
Short Int Prev Month,9823159.0
Short Int Pct of Float,0.0381966
Days to Cover,5.12731
Float,241.195
Shares Outstanding,270.0412
Institutions Holding Shares,205.0
% Held by Institutions,0.5627
FCF Growth 5yr,0.9135299000523921
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
