,PL
% Above Low,0.44560000000000005
% Held by Institutions,0.5627
52-Wk Range,['3.70 - 11.65']
Annual Dividend $,
Annual Dividend %,
Ask,5.35
Ask Size,1400.0
B/A Ratio,0.9285714285714286
B/A Size,1300x1400
Beta,
Bid,5.34
Bid Size,1300.0
Day Change $,0.02
Day Change %,0.0038
Day High,5.4
Day Low,5.24
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,0.855
Last (size),400.0
Last (time),10:56a ET 11/28/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,5.33
Price,5.35
Shares Outstanding,270.0M
Short Interest,0.0382
Today's Open,5.27
Volume Past Day,(Light)
