,MRVI
Price/Earnings (TTM),6.09045
Price/Sales (TTM),4.02488
Price/Book (MRQ),7.24448
Price/Cash Flow (TTM),6.5335
5yr Low,13.41
5yr High,63.55
5yr Avg Return,-0.10943333333333333
Short Int Current Month,7273931.0
Short Int Prev Month,6273306.0
Short Int Pct of Float,0.06658839999999999
Days to Cover,2.43371
Float,130.9183
Shares Outstanding,255.2088
Institutions Holding Shares,300.0
% Held by Institutions,0.949709
FCF Growth 5yr,-0.677427787612622
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
