,MRVI
% Above Low,0.0668
% Held by Institutions,0.9497
52-Wk Range,['13.41 - 46.29']
Annual Dividend $,
Annual Dividend %,
Ask,17.5
Ask Size,100.0
Ask close,15.14
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,13.59
Bid Size,100.0
Bid close,13.32
Change Since Close,0.00| |(0.00%)
Closing Price,14.3
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.35
Ex-dividend Date,No dividend
Historical Volatility,0.6409999999999999
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,14.3
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",6.09
Prev Close,14.3
Shares Outstanding,131.5M
Short Interest,0.0666
Today's Open,
Volume,1.0
Volume 10-day Avg,2368261.0
Volume Past Day,(Light)
