,BKNG
% Above Low,0.2275
% Held by Institutions,0.9256
52-Wk Range,"['1,616.85 - 2,715.66']"
Annual Dividend $,
Annual Dividend %,
Ask,1989.9
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,1.3
Bid,1983.01
Bid Size,100.0
Closing Price,1984.63
Day Change $,15.18
Day Change %,0.0077
Day High,1996.28
Day Low,1963.22
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",60.9
Ex-dividend Date,No dividend
Historical Volatility,0.44200000000000006
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,77.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",32.59
Prev Close,1969.45
Shares Outstanding,38.8M
Short Interest,0.0148
Today's Open,1968.48
Volume,168803.0
Volume 10-day Avg,356029.0
Volume Past Day,(Light)
