,BKNG
Price/Earnings (TTM),32.58732
Price/Sales (TTM),4.8048
Price/Book (MRQ),21.13836
Price/Cash Flow (TTM),26.86064
5yr Low,1107.29
5yr High,2715.66
5yr Avg Return,0.02436666666666667
EPS Growth 5yr,-0.0796168
Revenue Growth 5yr,0.0039709
Dividend Growth 5yr,
Short Int Current Month,574089.0
Short Int Prev Month,509487.0
Short Int Pct of Float,0.014841100000000001
Days to Cover,1.27283
Float,38.69087
Shares Outstanding,38.78939
Institutions Holding Shares,1855.0
% Held by Institutions,0.925646
FCF Growth 5yr,0.4151681124517903
