,BKNG
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,-0.044190358467243396
Growth 1yr High Est,0.10116504854368924
Growth 1yr Consensus Est,0.028487345038222922
Growth 2yr Low Est,0.06385158227085075
Growth 2yr High Est,0.193282224501081
Growth 2yr Consensus Est,0.12856690338596588
Growth 5yr Low Est,0.031925791135425374
Growth 5yr High Est,0.0966411122505405
Growth 5yr Consensus Est,0.06428345169298294
Growth 5yr Actual/Est,2.288048391482512
Growth 3yr Historic,1.9408854850718698
