,PINC
Price/Earnings (TTM),21.54893
Price/Sales (TTM),2.85811
Price/Book (MRQ),1.74595
Price/Cash Flow (TTM),12.28206
5yr Low,27.11
5yr High,47.22
5yr Avg Return,0.03863333333333334
EPS Growth 5yr,0.0760534
Revenue Growth 5yr,0.060895000000000005
Dividend Growth 5yr,
Short Int Current Month,1607686.0
Short Int Prev Month,1668259.0
Short Int Pct of Float,0.013605
Days to Cover,2.62344
Float,118.1686
Shares Outstanding,118.7621
Institutions Holding Shares,357.0
% Held by Institutions,0.68181
FCF Growth 5yr,0.07580953159655053
